"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2023,"MI","FT","Data Analyst",70600,"USD",70600,"US",0,"US","M"
2023,"MI","FT","ML Engineer",147000,"USD",147000,"US",0,"US","M"
2022,"SE","FT","Data Scientist",191475,"USD",191475,"US",100,"US","M"
2023,"SE","FT","Data Scientist",177000,"USD",177000,"GB",0,"GB","M"
2024,"SE","FT","Data Engineer",94100,"USD",94100,"US",0,"US","M"
2023,"SE","FT","Data Scientist",190000,"USD",190000,"CA",0,"CA","M"
2023,"SE","FT","Data Engineer",115000,"USD",115000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",133300,"USD",133300,"US",0,"US","M"
2023,"EX","FT","Data Engineer",116704,"USD",116704,"US",100,"US","M"
2024,"MI","CT","AI Research Engineer",57000,"EUR",63333,"HR",100,"HU","S"
2023,"SE","FT","Data Analyst",179975,"USD",179975,"US",100,"US","M"
2023,"MI","FT","Data Scientist",260600,"USD",260600,"US",0,"US","M"
2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"ES","M"
2024,"SE","FT","Machine Learning Engineer",240000,"USD",240000,"US",100,"US","M"
2023,"SE","FT","Analytics Engineer",214200,"USD",214200,"US",0,"US","M"
2024,"SE","FT","Data Science",150000,"USD",150000,"US",100,"US","M"
2022,"MI","FT","Data Scientist",135000,"USD",135000,"US",100,"US","L"
2024,"SE","FT","Data Analyst",120000,"USD",120000,"US",0,"US","M"
2022,"EX","FT","Data Science Manager",175100,"USD",175100,"US",0,"US","M"
2024,"SE","FT","Research Engineer",240960,"USD",240960,"US",0,"US","M"
2023,"EN","FT","Research Analyst",91200,"USD",91200,"US",0,"US","M"
2024,"SE","FT","Data Modeler",112000,"USD",112000,"US",0,"US","M"
2024,"MI","FT","Business Intelligence Engineer",186846,"USD",186846,"US",0,"US","M"
2021,"EX","FT","Director of Data Science",250000,"USD",250000,"US",0,"US","L"
2023,"SE","FT","Machine Learning Infrastructure Engineer",171600,"USD",171600,"US",0,"US","M"
2023,"SE","FT","Data Scientist",225000,"USD",225000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",115000,"USD",115000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",80000,"USD",80000,"US",0,"US","L"
2024,"MI","FT","Data Strategist",65000,"USD",65000,"US",0,"US","M"
2023,"MI","FT","Data Scientist",90000,"EUR",97171,"IE",0,"IE","M"
2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"ES","M"
2023,"SE","FT","Machine Learning Engineer",220000,"USD",220000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",180000,"USD",180000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",184000,"USD",184000,"US",0,"US","M"
2023,"SE","FT","Research Engineer",176000,"USD",176000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",36000,"EUR",38868,"ES",0,"ES","M"
2023,"MI","FT","Data Scientist",166000,"USD",166000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",120000,"USD",120000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",198200,"USD",198200,"US",100,"US","M"
2023,"MI","FT","Data Engineer",200000,"USD",200000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M"
2022,"SE","FT","Data Engineer",170000,"USD",170000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",176000,"USD",176000,"CA",0,"CA","M"
2023,"SE","FT","Data Scientist",182000,"USD",182000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M"
2024,"MI","FT","Data Science",250000,"USD",250000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",225000,"USD",225000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",235000,"USD",235000,"US",100,"US","M"
2024,"MI","FT","Data Analyst",51175,"USD",51175,"US",0,"US","M"
2023,"EN","FT","Data Manager",85600,"USD",85600,"US",0,"US","M"
2023,"SE","FT","Data Scientist",131000,"USD",131000,"US",100,"US","M"
2023,"MI","FT","Data Science Manager",70000,"USD",70000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",130000,"USD",130000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",111600,"USD",111600,"US",0,"US","L"
2024,"EN","FT","ML Engineer",27000,"USD",27000,"TR",0,"TR","S"
2022,"SE","FT","Data Engineer",130000,"USD",130000,"US",0,"US","M"
2023,"EX","FT","Data Scientist",200000,"USD",200000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M"
2023,"SE","FT","Research Scientist",220000,"USD",220000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",250900,"USD",250900,"US",0,"US","M"
2024,"EX","FT","ML Engineer",183400,"USD",183400,"US",0,"US","M"
2022,"SE","FT","Data Operations Analyst",66000,"USD",66000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",173000,"USD",173000,"US",100,"US","M"
2023,"SE","FT","Data Quality Analyst",72200,"USD",72200,"US",0,"US","M"
2024,"MI","FT","Analytics Engineer",78000,"USD",78000,"US",0,"US","M"
2023,"EX","FT","Data Engineer",225000,"USD",225000,"US",0,"US","M"
2024,"MI","FT","Data Modeler",69000,"USD",69000,"CA",0,"CA","M"
2024,"SE","FT","Research Scientist",180000,"USD",180000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",166000,"USD",166000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",140130,"USD",140130,"US",0,"US","M"
2024,"SE","FT","Applied Scientist",260000,"USD",260000,"US",0,"US","L"
2023,"MI","FT","Data Scientist",197400,"USD",197400,"US",0,"US","M"
2023,"MI","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M"
2022,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2022,"SE","FT","Data Analyst",140000,"USD",140000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",40000,"GBP",49216,"GB",0,"GB","M"
2024,"SE","FT","Applied Scientist",260000,"USD",260000,"US",0,"US","L"
2023,"SE","FT","Data Scientist",36000,"EUR",38868,"ES",0,"ES","M"
2023,"SE","FT","Data Analyst",117500,"USD",117500,"US",100,"US","M"
2024,"MI","FT","Data Management Specialist",81530,"USD",81530,"CA",0,"CA","M"
2023,"SE","FT","Data Manager",96600,"USD",96600,"US",0,"US","M"
2024,"SE","FT","Data Scientist",234000,"USD",234000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",170000,"USD",170000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",136300,"USD",136300,"GB",0,"GB","M"
2023,"SE","FT","Data Analyst",230000,"USD",230000,"US",100,"US","M"
2023,"SE","FT","Analytics Engineer",130000,"USD",130000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",253000,"USD",253000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",180000,"USD",180000,"US",100,"US","M"
2021,"EN","FT","Data Scientist",100000,"USD",100000,"US",0,"US","S"
2023,"SE","FT","Data Engineer",300000,"USD",300000,"US",0,"US","M"
2023,"EN","FT","Data Analyst",162240,"USD",162240,"US",0,"US","M"
2024,"MI","FT","Research Scientist",112000,"USD",112000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Researcher",190000,"USD",190000,"US",100,"US","M"
2024,"SE","FT","Data Analyst",117000,"USD",117000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",220000,"USD",220000,"US",0,"US","M"
2022,"MI","FT","Data Scientist",50000,"EUR",52533,"FR",100,"FR","M"
2023,"EN","FT","Data Analyst",82400,"USD",82400,"US",100,"US","M"
2021,"SE","FT","Big Data Architect",125000,"CAD",99703,"CA",50,"CA","M"
2024,"SE","FT","Data Analyst",107000,"USD",107000,"CA",0,"CA","M"
2023,"SE","FT","Data Scientist",230000,"USD",230000,"US",100,"US","M"
2024,"SE","FT","Data Scientist",125000,"USD",125000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",90000,"USD",90000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",198800,"USD",198800,"US",0,"US","M"
2024,"MI","FT","Data Scientist",90000,"USD",90000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",235000,"USD",235000,"US",100,"US","M"
2023,"MI","FT","Data Analyst",125000,"USD",125000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",223700,"USD",223700,"US",0,"US","M"
2024,"SE","FT","Data Engineer",187000,"USD",187000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",203500,"USD",203500,"US",0,"US","M"
2024,"SE","FT","Data Engineer",198000,"USD",198000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",183500,"USD",183500,"US",100,"US","M"
2023,"SE","FT","Data Analyst",165000,"USD",165000,"US",100,"US","M"
2024,"SE","FT","Data Analyst",55200,"USD",55200,"US",0,"US","M"
2024,"SE","FT","Research Scientist",484000,"USD",484000,"US",100,"US","M"
2021,"SE","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L"
2022,"EN","FT","BI Data Analyst",57000,"USD",57000,"US",100,"US","L"
2024,"MI","FT","Data Science",132600,"USD",132600,"US",0,"US","M"
2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",255000,"USD",255000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",310000,"USD",310000,"US",0,"US","M"
2024,"SE","FT","Analytics Engineer",180700,"USD",180700,"US",100,"US","M"
2023,"MI","FT","Data Analyst",80000,"USD",80000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",108768,"USD",108768,"US",0,"US","M"
2023,"SE","FT","Data Engineer",232989,"USD",232989,"US",100,"US","M"
2023,"SE","FT","Data Scientist",179000,"USD",179000,"US",0,"US","M"
2022,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",100,"US","L"
2023,"SE","FT","Machine Learning Scientist",138000,"USD",138000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",146000,"USD",146000,"US",0,"US","M"
2023,"SE","FT","NLP Engineer",60000,"EUR",64781,"ES",100,"ES","M"
2024,"SE","FT","Machine Learning Engineer",150700,"USD",150700,"US",0,"US","M"
2024,"MI","FT","Machine Learning Engineer",210100,"USD",210100,"US",0,"US","M"
2023,"SE","FT","Research Scientist",220000,"USD",220000,"US",0,"US","M"
2023,"SE","FT","Computer Vision Engineer",235000,"USD",235000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",237000,"USD",237000,"US",100,"US","M"
2022,"SE","FT","Data Engineer",250000,"USD",250000,"US",100,"US","M"
2023,"MI","FT","Data Analyst",150000,"USD",150000,"US",100,"US","M"
2024,"MI","FT","AI Programmer",30000,"USD",30000,"BA",0,"BA","S"
2022,"MI","FT","Data Engineer",150000,"USD",150000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",145000,"USD",145000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",42000,"GBP",51676,"GB",0,"GB","M"
2023,"SE","FT","Data Engineer",124740,"USD",124740,"US",0,"US","M"
2024,"MI","FT","Data Scientist",93300,"USD",93300,"EG",0,"EG","M"
2023,"EN","FT","Data Analyst",48000,"USD",48000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",90000,"GBP",110736,"GB",0,"GB","M"
2023,"EN","FT","Data Analyst",55000,"GBP",67672,"GB",0,"GB","M"
2023,"SE","FT","Data Scientist",310270,"USD",310270,"US",0,"US","M"
2024,"MI","FT","Data Scientist",68400,"USD",68400,"US",0,"US","M"
2024,"MI","FT","Data Engineer",198000,"USD",198000,"US",100,"US","M"
2023,"MI","FT","Data Manager",73500,"USD",73500,"US",0,"US","M"
2022,"MI","FT","Data Analyst",102640,"USD",102640,"US",100,"US","M"
2024,"EN","FT","Data Analyst",93000,"USD",93000,"US",0,"US","M"
2024,"SE","FT","Data Science",170000,"USD",170000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",60000,"EUR",64781,"ES",0,"ES","M"
2022,"MI","FT","Lead Data Scientist",50000,"GBP",61566,"GB",50,"GB","S"
2023,"MI","FT","Data Science Lead",134326,"USD",134326,"US",0,"US","M"
2024,"MI","FT","Data Engineer",58300,"USD",58300,"US",0,"US","M"
2023,"SE","FT","Data Scientist",205150,"USD",205150,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Engineer",202800,"USD",202800,"US",0,"US","L"
2023,"MI","FT","Business Intelligence Analyst",150000,"USD",150000,"US",0,"US","M"
2023,"SE","FT","Data Strategist",106200,"USD",106200,"US",0,"US","M"
2024,"SE","FT","Data Scientist",139000,"USD",139000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",63000,"USD",63000,"US",0,"US","M"
2023,"SE","FT","AI Engineer",180500,"USD",180500,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",135200,"USD",135200,"US",0,"US","M"
2022,"MI","FT","Data Scientist",55000,"GBP",67723,"GB",0,"GB","M"
2023,"SE","FT","Machine Learning Engineer",247500,"USD",247500,"US",0,"US","M"
2023,"MI","FT","Data Scientist",175000,"USD",175000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",170000,"USD",170000,"US",100,"US","M"
2024,"EX","FT","Data Engineer",225000,"USD",225000,"US",0,"US","M"
2023,"EN","FT","Data Analyst",133000,"USD",133000,"US",0,"US","M"
2024,"MI","FT","Data Analyst",134500,"USD",134500,"US",0,"US","M"
2022,"MI","FT","Data Analyst",65000,"USD",65000,"CA",0,"CA","M"
2023,"MI","FT","Data Engineer",73100,"USD",73100,"US",0,"US","M"
2023,"SE","FT","Data Engineer",48000,"USD",48000,"AR",100,"AR","M"
2023,"SE","FT","Data Scientist",175000,"USD",175000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",105000,"USD",105000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",152000,"USD",152000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",85000,"USD",85000,"US",0,"US","M"
2024,"SE","FT","Data Engineer",60000,"EUR",66666,"PL",100,"PL","M"
2024,"SE","FT","Data Analyst",100000,"USD",100000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M"
2024,"SE","FT","Business Intelligence Engineer",108500,"USD",108500,"US",100,"US","M"
2024,"MI","FT","Machine Learning Engineer",160480,"USD",160480,"US",0,"US","M"
2024,"MI","FT","Data Developer",95000,"USD",95000,"US",0,"US","M"
2024,"MI","FT","Research Scientist",107100,"USD",107100,"US",0,"US","M"
2024,"SE","FT","Research Engineer",146000,"USD",146000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M"
2023,"MI","FT","Data Scientist",162000,"USD",162000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",79000,"USD",79000,"US",0,"US","M"
2023,"SE","FT","Research Scientist",150000,"USD",150000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",149040,"USD",149040,"US",100,"US","M"
2024,"SE","FT","Data Scientist",155000,"USD",155000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",160000,"USD",160000,"CA",100,"CA","M"
2023,"SE","FT","Machine Learning Engineer",296400,"USD",296400,"US",0,"US","M"
2022,"SE","FT","Data Scientist",160000,"USD",160000,"US",100,"US","L"
2023,"SE","FT","Machine Learning Engineer",163200,"USD",163200,"US",0,"US","M"
2024,"MI","FT","Data Scientist",131600,"USD",131600,"US",0,"US","M"
2023,"SE","FT","Data Analyst",138240,"USD",138240,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",260000,"USD",260000,"US",0,"US","L"
2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",133000,"USD",133000,"US",0,"US","M"
2024,"SE","FT","Business Intelligence Lead",104800,"USD",104800,"US",100,"US","M"
2024,"MI","FT","Research Scientist",112000,"USD",112000,"US",0,"US","M"
2022,"EN","FT","Data Analyst",64000,"USD",64000,"US",100,"US","L"
2022,"SE","FT","Data Engineer",250000,"USD",250000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2024,"MI","FT","Cloud Database Engineer",82000,"USD",82000,"US",100,"US","M"
2024,"SE","FT","Data Science",227000,"USD",227000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",36000,"EUR",38868,"LV",0,"LV","M"
2023,"SE","FT","Data Engineer",175000,"USD",175000,"US",100,"US","M"
2022,"SE","FT","Data Analyst",171000,"USD",171000,"US",100,"AU","L"
2022,"SE","FT","Data Scientist",134000,"USD",134000,"US",100,"US","M"
2023,"SE","FT","Data Architect",117000,"USD",117000,"US",0,"US","M"
2024,"EN","FT","Data Analyst",97000,"USD",97000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",50000,"USD",50000,"US",100,"US","M"
2024,"SE","FT","Analytics Engineer",53000,"GBP",66250,"GB",0,"GB","M"
2024,"EX","FT","Business Intelligence",150000,"USD",150000,"US",0,"US","M"
2021,"SE","FT","Machine Learning Engineer",1799997,"INR",24342,"IN",100,"IN","L"
2023,"SE","FT","Data Analyst",168000,"USD",168000,"US",100,"US","L"
2023,"SE","FT","Data Scientist",167850,"USD",167850,"US",100,"US","M"
2024,"SE","FT","Data Scientist",146900,"USD",146900,"US",0,"US","M"
2023,"SE","FT","Data Analyst",85000,"USD",85000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",70000,"USD",70000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",179000,"USD",179000,"US",0,"US","M"
2022,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","Data Science Engineer",220000,"USD",220000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",150000,"USD",150000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",88052,"USD",88052,"US",100,"US","M"
2024,"SE","FT","Machine Learning Scientist",137500,"USD",137500,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",145900,"USD",145900,"US",0,"US","M"
2023,"SE","FT","Research Scientist",200000,"USD",200000,"US",0,"US","M"
2024,"MI","FT","Data Operations Specialist",132500,"USD",132500,"US",0,"US","M"
2023,"MI","FT","Data Analyst",70000,"USD",70000,"PH",0,"PH","M"
2023,"EX","FT","Data Manager",70000,"USD",70000,"US",0,"US","M"
2023,"MI","FT","Data Manager",55000,"GBP",67672,"GB",0,"GB","M"
2023,"MI","FT","Data Scientist",155000,"USD",155000,"US",100,"US","M"
2024,"MI","FT","Data Science Consultant",70000,"USD",70000,"US",100,"US","M"
2023,"SE","FT","Research Engineer",185000,"USD",185000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",36000,"EUR",38868,"ES",0,"ES","M"
2024,"SE","FT","Machine Learning Researcher",167200,"USD",167200,"US",0,"US","M"
2022,"SE","FT","Data Engineer",122600,"USD",122600,"US",0,"US","M"
2024,"SE","FT","Data Scientist",165000,"USD",165000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",183414,"USD",183414,"US",0,"US","M"
2023,"MI","FT","Analytics Engineer",116480,"USD",116480,"US",0,"US","M"
2024,"SE","FT","Data Science Lead",120000,"USD",120000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",129300,"USD",129300,"US",0,"US","M"
2023,"SE","FT","Data Engineer",385000,"USD",385000,"US",0,"US","M"
2024,"SE","FT","Data Architect",100000,"USD",100000,"US",0,"US","M"
2023,"SE","FT","Decision Scientist",142200,"USD",142200,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",229900,"USD",229900,"US",0,"US","M"
2024,"MI","FT","Business Intelligence Manager",117500,"USD",117500,"US",0,"US","M"
2022,"MI","FT","Data Analyst",206000,"USD",206000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",36000,"EUR",38868,"EE",0,"EE","M"
2023,"SE","FT","Data Science Lead",172200,"USD",172200,"US",0,"US","M"
2022,"MI","FT","Analytics Engineer",100000,"USD",100000,"US",100,"US","M"
2024,"SE","FT","Data Architect",155615,"USD",155615,"US",0,"US","M"
2024,"MI","FT","Research Scientist",124100,"USD",124100,"US",0,"US","L"
2020,"MI","FT","Data Engineer",51999,"EUR",59303,"DE",100,"DE","S"
2023,"SE","FT","Business Intelligence Analyst",171050,"USD",171050,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",207700,"USD",207700,"CA",0,"CA","M"
2023,"SE","FT","Data Operations Engineer",193000,"USD",193000,"US",100,"US","M"
2023,"EN","PT","Data Analyst",78000,"PLN",18160,"PL",100,"IN","L"
2023,"MI","FT","AI Engineer",171000,"USD",171000,"US",0,"US","M"
2020,"MI","FT","Data Scientist",118000,"USD",118000,"US",100,"US","M"
2024,"SE","FT","Data Product Manager",220000,"USD",220000,"GB",0,"GB","M"
2023,"SE","FT","Data Manager",110400,"USD",110400,"US",0,"US","M"
2023,"SE","FT","Analytics Engineer",167000,"USD",167000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",75000,"USD",75000,"US",0,"US","M"
2024,"SE","FT","Data Engineer",122000,"USD",122000,"US",0,"US","M"
2024,"SE","FT","Research Engineer",144600,"USD",144600,"US",0,"US","M"
2023,"SE","FT","Data Analyst",129150,"USD",129150,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2024,"MI","FT","Business Intelligence Developer",105000,"USD",105000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",201450,"USD",201450,"US",100,"US","M"
2023,"MI","FT","Data Engineer",108000,"USD",108000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",184000,"USD",184000,"US",0,"US","M"
2023,"MI","FT","Machine Learning Specialist",40000,"USD",40000,"FR",100,"FR","M"
2024,"SE","FT","Data Scientist",152000,"USD",152000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",120000,"USD",120000,"CA",0,"CA","M"
2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M"
2023,"MI","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2023,"SE","FT","Applied Scientist",164000,"USD",164000,"US",100,"US","M"
2023,"SE","FT","Research Engineer",157000,"USD",157000,"US",0,"US","M"
2023,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M"
2023,"EX","FT","Business Intelligence Engineer",247500,"USD",247500,"US",0,"US","M"
2023,"SE","FT","Research Engineer",155000,"USD",155000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",195000,"USD",195000,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",132600,"USD",132600,"US",0,"US","M"
2023,"SE","FT","Data Scientist",181000,"USD",181000,"CA",0,"CA","M"
2023,"MI","FT","Data Engineer",95000,"USD",95000,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Analyst",130000,"USD",130000,"US",0,"US","M"
2022,"SE","FT","Data Scientist",141525,"USD",141525,"US",100,"US","M"
2024,"SE","FT","Machine Learning Engineer",215000,"USD",215000,"CA",0,"CA","M"
2023,"SE","FT","Data Science Engineer",145000,"USD",145000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",91800,"USD",91800,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",134500,"USD",134500,"US",0,"US","L"
2023,"SE","FT","Data Scientist",240000,"USD",240000,"US",100,"US","M"
2023,"MI","FT","Data Engineer",275000,"USD",275000,"CA",0,"CA","M"
2024,"MI","FT","Machine Learning Engineer",200000,"USD",200000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",189000,"USD",189000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",300000,"USD",300000,"US",100,"US","M"
2024,"SE","FT","Data Scientist",195500,"USD",195500,"US",100,"US","M"
2023,"MI","FT","Machine Learning Engineer",175000,"USD",175000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",121000,"USD",121000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",179000,"USD",179000,"US",0,"US","M"
2023,"SE","FT","Data Manager",110400,"USD",110400,"US",0,"US","M"
2023,"MI","FT","Data Scientist",155000,"USD",155000,"US",0,"US","M"
2022,"EN","FT","AI Programmer",40000,"USD",40000,"PK",100,"AU","M"
2024,"SE","FT","Data Scientist",187158,"USD",187158,"US",0,"US","M"
2023,"MI","FT","Data Engineer",152000,"USD",152000,"US",100,"US","M"
2024,"EN","FT","Data Analyst",70000,"USD",70000,"US",100,"US","M"
